万	萬 万
丑	醜 丑
个	個 箇
丰	豐 丰
了	了 瞭
云	雲 云
仆	僕 仆
价	價 价
伙	夥 伙
余	餘 余
佣	傭 佣
借	借 藉
克	克 剋
党	黨 党
具	具 俱
冬	冬 鼕
冲	衝 冲
准	準 准
几	幾 几
出	出 齣
划	劃 划
别	别 彆
刮	刮 颳
制	製 制
千	千 韆
卜	卜 蔔
卤	滷 鹵
卷	卷 捲
厂	廠 厂
历	歷 曆
发	發 髮
叶	葉 叶
吁	籲 吁
合	合 閤
后	後 后
向	向 嚮
呆	呆 待
咸	鹹 咸
回	回 迴
团	團 糰
困	困 睏
坐	坐 座
坛	壇 罎
坝	壩 垻
夫	夫 伕
夸	誇 夸
姜	姜 薑
家	家 傢
尽	盡 儘
帘	簾 帘
广	廣 广
弥	彌 瀰
当	當 噹
征	徵 征
御	御 禦
恶	惡 噁
愿	願 愿
才	才 纔
折	折 摺
据	據 据
摆	擺 襬
斗	鬥 斗
旋	旋 鏇
曲	曲 麯
术	術 术
朱	朱 硃
朴	樸 朴
松	松 鬆
板	板 闆
柜	櫃 柜
汇	匯 彙
沈	沈 瀋
涂	塗 涂
淀	澱 淀
漓	漓 灕
熏	熏 薰
症	症 癥
确	確 确
秋	秋 鞦
种	種 种
筑	築 筑
签	籤 簽
累	纍 累
纤	纖 縴
缐	線 綫
胜	勝 胜
胡	胡 鬍
脏	髒 臟
腊	臘 腊
致	致 緻
舍	舍 捨
芸	芸 蕓
苏	蘇 囌
苧	苧 薴
范	範 范
荐	薦 荐
获	獲 穫
蔑	蔑 衊
蜡	蠟 蜡
表	表 錶
谷	谷 穀
象	象 像
辟	闢 辟
适	適 适
郁	鬱 郁
鉴	鑒 鑑
钟	鐘 鍾
面	面 麵
须	須 鬚
饥	飢 饑
只	衹 隻 只
复	復 複 覆
干	幹 乾 干
系	系 係 繫
里	裏 里 哩
台	臺 檯 颱 台
蒙	蒙 矇 濛 懞
