么	么 幺
乾	干 乾
仝	同 仝
俛	俯 俛
俱	俱 具
像	像 象
剋	克 剋
劄	札 劄
勑	敕 勑
勣	绩 𪟝
叚	假 叚
叡	睿 叡
吒	吒 咤
哩	哩 里
喆	哲 喆
噁	恶 𫫇
坏	坏 坯
堃	坤 堃
夥	伙 夥
妳	奶 你
尗	菽 叔
彫	雕 凋
彷	彷 仿
徵	征 徵
扞	捍 扞
於	于 於
昇	升 昇
椀	碗 椀
椏	丫 桠
橤	蕊 橤
氾	泛 氾
沈	沈 沉
淼	渺 淼
澂	澄 澂
犇	奔 犇
璿	璇 琼
甦	苏 甦
甯	宁 甯
瞭	瞭 了
祇	只 祇
祕	秘 祕
筦	管 筦
箚	札 劄
絜	洁 絜
線	线 缐
耑	专 耑
脩	修 脩
菉	绿 菉
著	著 着
蒐	搜 蒐
薹	苔 薹
藉	藉 借
蘋	苹 𬞟
袷	夹 袷
覆	覆 复
訢	欣 䜣
諮	咨 谘
讎	仇 雠
讐	仇 雠
谿	溪 谿
貲	资 赀
迺	乃 迺
逕	径 迳
邨	村 邨
鉅	巨 钜
鍾	钟 锺
鑪	炉 𬬻
钁	镢 䦆
閒	闲 间
阪	阪 坂
阯	址 阯
陞	升 陞
靦	腼 䩄
韝	鞲 韝
頫	俯 𫖯
颺	扬 飏
麴	曲 麹
麼	么 麽
麽	么 麽
龢	和 龢
蹻	跷 𪨗 𫏋
釐	厘 釐 禧
鍊	炼 链 鍊
閤	閤 阖 阁
厓	崖 睚 涯 厓
